latitude,longitude
47.590057,-122.228541
47.436233,-122.296635
47.668201,-117.397214
47.612754,-122.198497
47.329291,-122.578979
47.661361,-122.298284
48.180175,-122.12563
47.339342,-122.590314
47.75946,-122.661047
48.536489,-123.021351
48.514655,-123.028884
48.532963,-123.019311
48.532844,-123.021001
48.692979,-122.904798
48.641279,-122.781015
48.521863,-122.909571
48.530774,-122.914874
47.608017,-122.335273
47.451709,-122.295497
47.023179,-122.922337
47.736632,-122.647204
47.65330662706392,-122.6948141320863
48.436423,-122.3088327
47.585655,-122.147284
45.7208083,-122.6467578
47.25914,-122.514596
47.60636,-122.321639
47.477362,-122.215347
47.203981,-122.237313
47.704069,-122.167006
47.611102,-122.334893
47.58495,-122.15043
47.633992,-122.339684
45.6313841,-122.677588
47.547708,-122.352708
47.637692,-122.513582
47.359935,-122.103668
47.389529,-122.301609
48.7707,-122.448772
48.938283,-119.436456
47.39125,-119.483647
47.883847,-120.154608
47.443363,-122.296428
45.662257,-122.664489
46.750241,-121.812778
47.609095,-122.332012
47.659232,-117.368859
47.047492,-122.939544
47.699227,-122.334626
47.653614,-117.430179
47.671569,-117.102884
47.669621,-117.416241
47.628186,-117.227256
47.662679,-117.431811
47.617634,-122.133439
47.011089,-122.896054
47.58002,-122.312203
47.61541,-122.179484
46.180363,-119.188501
46.994236,-120.549197
47.673158,-117.360474
47.675247,-117.464446
47.757824,-122.190681
47.614503,-122.201196
47.614311,-122.201051
47.614752,-122.200829
47.614649,-122.200751
47.597446,-122.330456
47.251655,-122.437656
47.042642,-124.170682
45.643429,-122.704219
47.754851,-122.155601
47.545075,-122.008911
47.471546,-122.232002
47.474427,-122.233381
47.798901,-122.3025
46.976679,-123.813485
48.212441,-122.183491
48.509743,-122.338681
46.729872,-122.977392
46.976918,-120.54162
46.198035,-119.162687
47.846714,-122.271389
47.116294,-118.368328
48.071064,-123.074581
45.721613,-122.663762
47.598476,-120.656055
47.10579,-122.539
47.96937,-123.86338
47.96937,-123.86338
47.700774,-122.323775
46.677586,-120.47913
46.242178,-119.124215
47.768906,-117.401929
47.6289,-122.341536
47.195359,-124.196082
47.24044,-124.216904
47.700624,-117.425573
47.668955,-122.388808
45.852337,-122.708397
47.713224,-122.298415
47.619056,-122.352371
47.623424,-122.345872
47.320954,-122.13822
47.548081,-122.039955
47.661582,-122.32426
47.55493,-122.047455
48.479357,-120.186033
46.798453,-123.0123
47.582336,-122.158644
47.588122,-122.237206
48.543915,-117.904797
47.616992,-122.343984
47.474537,-122.204976
46.132245,-122.935179
